,Name,Code,ICAO
708,Eastern Australia Airlines,,EAQ
709,Easy Charter,RD,LOL
710,easyJet,U2,EZY
711,easyJet Europe,EC,EJU
712,easyJet Switzerland,DS,EZS
713,EATIS,,SRK
714,Eclair Aviation,,ECC
715,ECO Airlines,,EKO
716,EcoJet,8J,ECO
717,Ecuador - Air Force,,FAE
718,Edelweiss Air,WK,EDW
719,EGT Jet,,EGT
720,Egypt - Air Force,,EGY
721,Egyptair,MS,MSR
722,Egyptair Cargo,,MSX
723,EJM Europe,,JME
724,El Al,LY,ELY
725,Elangeni,,ELG
726,Electra Airways,,EAF
727,Elemental Aviation,,MWH
728,Elifriulia,,EFG
729,Elilombarda,,EOA
730,Eliossola,,EOS
731,Elitaliana,,ELA
732,Elitavia,,EAV
733,Elitavia Malta,MA,EAU
734,Elite Air,,ELZ
735,Elite Airways,7Q,MNU
736,Elitellina,,FGS
737,Elthuraya Aviation,,FIB
738,Embraer,,EMB
739,Embry-Riddle Aeronautical University,,ERU
740,Emerald Airlines,EA,EAI
741,Emerald Airlines UK,,EAG
742,Emetebe,,EMT
743,Emirates,EK,UAE
744,Emirates Flight Training Academy,,EFC
745,Emperor Aviation,,EMM
746,Empire Airlines,EM,CFS
747,Empire Aviation,,MJE
748,Empresa Publica de Transporte Aereo Militar,,EPT
749,Empyreal Jet,,RLJ
750,ENAC Ecole Aviation Civile,,NAK
751,Encore Air Cargo,,DKT
752,Endeavor Air,9E,EDV
753,Enter Air,E4,ENT
754,Envoy,MQ,ENY
755,Epic Flight Academy,,EPI
756,Epsilon Aviation,,GRV
757,Era Helicopters,,ERH
758,Estafeta,E7,ESF
759,Estelar,ES,ETR
760,Estonia - Air Force,,EEF
761,Eswatini Air,RN,SZL
762,ETF Airways,LI,EZZ
763,Ethiopian Airlines,ET,ETH
764,Etihad Airways,EY,ETD
765,Euro Link,,EUL
766,Euro-Asia Air,5B,EAK
767,EuroAtlantic Airways,YU,MMZ
768,Eurocopter Deutschland,,RDF
769,European Air Charter,H6,BUC
770,European Air Transport,QY,BCS
771,European Cargo,SE,URO
772,European Flight Academy,,PTO
773,European Flight Service,,EUW
774,European Flyers,,FYS
775,European SAO,,EKT
776,Eurowings,EW,EWG
777,Eurowings Europe,E6,EWL
778,EVA Air,BR,EVA
779,Everts Air Alaska,5V,VTS
780,EWA Air,ZD,EWR
781,Excellent Air,,ECA
782,Exclusive Aviation,,REE
783,Execuflight,,EFT
784,Execujet Middle East,,EJO
785,Execujet Scandinavia,,VMP
786,Executive Airlink,,ENK
787,Executive Jet Charter,,EXJ
788,Executive Jet Management,,EJM
789,Exploits Valley Air Services,8K,EVS
790,Express Air Cargo,7A,XRC
791,Express Freighters Australia,QE,EFA
792,ExpressJet Airlines,XE,BTA
793,Exxaero,,XRO
794,Eznis Airways,MG,EZA
795,Ezy Airlines,,EZT
796,FAI rent-a-jet,,IFA
797,Falcon Aviation Services,,FVS
798,Fanjet Express,,FJE
799,Farmingdale State University,,FDL
800,Fast Air,,PBR
801,Fastjet,FN,FJW
802,FedEx,FX,FDX
803,Fenix Air Charter,,FNX
804,Feuerwehr-Flugdienst Niedersachsen,,FFD
805,Fiji Airways,FJ,FJI
806,Fiji Link,,FJA
807,Finistair,,FTR
808,Finland - Air Force,,FNF
809,Finland - Border Guard,,FNG
810,Finnair,AY,FIN
811,FinnHEMS,,FIH
812,Firefly,FY,FFM
813,First Air,7F,FAB
814,First Nation Airways,,FRN
815,FitsAir,8D,EXV
816,Flair Airlines,F8,FLE
817,Fleet Air International,,FRF
818,Flexflight,W2,FXT
819,Flexjet,,LXJ
820,Flexjet Europe,,FLJ
821,Flexjet Operations Malta,,FJO
822,Flight Calibration Services,,FCK
823,Flight Calibration Services,,VOR
824,Flight Choice,,FCE
825,Flight options,,OPT
826,Flight Training Europe,,AYR
827,FlightExec,,FEX
828,Flightline,,FTL
829,Flightlink,YS,FLZ
830,Flightpath Charter Airways,,KNT
831,Flightworks,,FWK
832,Florida Air Cargo,,FAS
833,Florida Flyers Flight Academy,,FFY
834,Fltplan,,DCM
835,Flugfelag Islands,NY,FXI
836,Fly 7,,FSF
837,Fly Across,,ACW
838,Fly Air41,,BER
839,Fly AllWays,8W,EDR
840,Fly ALS,,ALW
841,Fly Angola,EQ,FLA
842,Fly Armenia Airways,VF,FBB
843,Fly Art,,FLB
844,Fly Baghdad,IF,FBA
845,Fly Jet KZ,,FJK
846,Fly Oya,YI,OYA
